trade_date;maturity_date;maturity;strike;forward;log_moneyness;implied_vol;ssvi_implied_vol;ticker
2026-04-27;2026-05-15;0.0493150684931506;56.0;77.19;-0.32091822422661326;0.724635467529297;0.35051462079191875;TTE
2026-04-27;2026-05-15;0.0493150684931506;57.0;77.19;-0.3032186471272123;0.6903584289550779;0.3478175712286671;TTE
2026-04-27;2026-05-15;0.0493150684931506;58.0;77.19;-0.2858269044153431;0.6674103546142579;0.3451742597802059;TTE
2026-04-27;2026-05-15;0.0493150684931506;59.0;77.19;-0.26873247105604303;0.633560256958008;0.3425844410262137;TTE
2026-04-27;2026-05-15;0.0493150684931506;60.0;77.19;-0.25192535273966177;0.600144691467285;0.3400479394673491;TTE
2026-04-27;2026-05-15;0.0493150684931506;62.0;77.19;-0.21913552991667093;0.534315567016602;0.33513450213001933;TTE
2026-04-27;2026-05-15;0.0493150684931506;64.0;77.19;-0.18738683160209055;0.477569274902344;0.3304337294165136;TTE
2026-04-27;2026-05-15;0.0493150684931506;66.0;77.19;-0.1566151729353369;0.4262375259399409;0.32594615790775977;TTE
2026-04-27;2026-05-15;0.0493150684931506;68.0;77.19;-0.12676220978565578;0.3791907882690429;0.3216728860513346;TTE
2026-04-27;2026-05-15;0.0493150684931506;70.0;77.19;-0.09777467291240353;0.344843406677246;0.3176153708449314;TTE
2026-04-27;2026-05-15;0.0493150684931506;72.0;77.19;-0.06960379594570712;0.325534744262695;0.31377521482614706;TTE
2026-04-27;2026-05-15;0.0493150684931506;74.0;77.19;-0.042204821757592714;0.313345336914062;0.3101539463106415;TTE
2026-04-27;2026-05-15;0.0493150684931506;76.0;77.19;-0.015536574675431424;0.30772970199585;0.3067527982519311;TTE
2026-04-27;2026-05-15;0.0493150684931506;78.0;77.19;0.010438911727829204;0.304833889007568;0.30357249332079184;TTE
2026-04-27;2026-05-15;0.0493150684931506;80.0;77.19;0.035756719712119155;0.306016807556152;0.3006130445017851;TTE
2026-04-27;2026-05-15;0.0493150684931506;82.0;77.19;0.06044933230249073;0.310132923126221;0.2978735813486462;TTE
2026-04-27;2026-05-15;0.0493150684931506;84.0;77.19;0.0845468838815511;0.317272129058838;0.29535221176340376;TTE
2026-04-27;2026-05-15;0.0493150684931506;86.0;77.19;0.10807738129174528;0.3248050308227539;0.2930459276446277;TTE
2026-04-27;2026-05-15;0.0493150684931506;88.0;77.19;0.1310668995164441;0.336154289245605;0.2909505600704068;TTE
2026-04-27;2026-05-15;0.0493150684931506;90.0;77.19;0.15353975536850256;0.3670169830322269;0.2890607861423718;TTE
2026-04-27;2026-05-15;0.0493150684931506;92.0;77.19;0.17551866208727787;0.406426200866699;0.2873701856950609;TTE
2026-04-27;2026-05-15;0.0493150684931506;96.0;77.19;0.21807827650607375;0.4642076873779299;0.2845559801787543;TTE
2026-04-27;2026-05-15;0.0493150684931506;100.0;77.19;0.25890027102632884;0.5249907684326169;0.2824392842393523;TTE
2026-04-27;2026-05-15;0.0493150684931506;104.0;77.19;0.29812098417961025;0.592219886779785;0.2809431167228764;TTE
2026-04-27;2026-05-15;0.0493150684931506;108.0;77.19;0.33586131216245724;0.655771789550781;0.2799876598730998;TTE
2026-04-27;2026-06-19;0.1452054794520547;58.0;77.37;-0.28815609801494385;0.419199295043945;0.31440502914810736;TTE
2026-04-27;2026-06-19;0.1452054794520547;60.0;77.37;-0.2542545463392624;0.390671081542969;0.30973801362004616;TTE
2026-04-27;2026-06-19;0.1452054794520547;62.0;77.37;-0.22146472351627167;0.361775283813477;0.305263849091189;TTE
2026-04-27;2026-06-19;0.1452054794520547;64.0;77.37;-0.1897160252016913;0.334782104492188;0.300982283545073;TTE
2026-04-27;2026-06-19;0.1452054794520547;65.0;77.37;-0.1742118386657261;0.325092353820801;0.2989138407399781;TTE
2026-04-27;2026-06-19;0.1452054794520547;66.0;77.37;-0.15894436653493757;0.31582914352417;0.29689375775741433;TTE
2026-04-27;2026-06-19;0.1452054794520547;68.0;77.37;-0.12909140338525651;0.302417984008789;0.29299923229635355;TTE
2026-04-27;2026-06-19;0.1452054794520547;70.0;77.37;-0.10010386651200417;0.293918437957764;0.28930000536651024;TTE
2026-04-27;2026-06-19;0.1452054794520547;72.0;77.37;-0.07193298954530782;0.28811128616333;0.28579752183990004;TTE
2026-04-27;2026-06-19;0.1452054794520547;74.0;77.37;-0.04453401535719345;0.284547348022461;0.2824931759371046;TTE
2026-04-27;2026-06-19;0.1452054794520547;75.0;77.37;-0.031110995025052688;0.282589874267578;0.2809156773918314;TTE
2026-04-27;2026-06-19;0.1452054794520547;76.0;77.37;-0.017865768275032088;0.281975440979004;0.27938811219776494;TTE
2026-04-27;2026-06-19;0.1452054794520547;78.0;77.37;0.008109718128228608;0.277376537322998;0.27648303139198893;TTE
2026-04-27;2026-06-19;0.1452054794520547;80.0;77.37;0.03342752611251841;0.277474231719971;0.27377800959350307;TTE
