maturity_date;maturity;theta;rho;phi;rmse_total_variance
2026-05-29;0.0876712328767123;0.006969814825008739;-0.4000208002181127;2.0000096394274443;0.007870566358836043
2026-06-05;0.1068493150684931;0.00815858764141844;-0.4;2.0;0.003310661203536615
2026-06-18;0.1424657534246575;0.01089434863787476;-0.325665510340561;9.844344821013278;0.004953782232524679
2026-07-17;0.2219178082191781;0.014982818886178468;-0.3625936859651172;7.601891115276952;0.003050232329015894
2026-08-21;0.3178082191780822;0.023498330696623174;-0.3619510486884738;6.02536218367064;0.004258922412179503
2026-09-18;0.3945205479452054;0.029116451449804053;-0.39909063051639043;6.565847824576788;0.018554541446543258
2026-10-16;0.4712328767123288;0.03486111456053301;-0.37763895267523784;4.500205617003214;0.0007858050071438934
2026-11-20;0.5671232876712329;0.04378510859152564;-0.40339763651895055;3.8948055044374903;0.001878886058937427
2026-12-18;0.6438356164383562;0.049321425150962946;-0.4131135808348768;4.524020273545193;0.026627338171386437
2027-01-15;0.7205479452054795;0.0548255765654959;-0.423464127774273;4.427284304104491;0.03221859864109831
2027-03-19;0.8931506849315068;0.07016366836030921;-0.404380317448108;3.420568976862474;0.013316815714317172
