portfolio;line;product;underlying;valuation_date;maturity_date;quantity;unit_price;market_value;delta;gamma;vega;theta;rho;dv01;status;warning
Options;2;Call Spread;TTE;2026-04-27;2026-06-30;100000.0;2.434270714956469;243427.07149564687;21692.329688267804;-209.10940401875493;-38527.95345471627;-16015.04510008418;250915.74481389474;;OK;"vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;3;Call Spread;TTE;2026-04-27;2026-05-29;100000.0;6.267414238341818;626741.4238341817;47680.41179405018;-2410.6500782987696;-324689.83433381247;386423.8332017557;267722.4821960373;;OK;"vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;4;Put Spread;TTE;2026-04-27;2026-09-30;-100000.0;0.8063102506114981;-80631.0250611498;9802.527521035508;-1010.3178407662589;-657527.9498346681;172144.6816414208;357854.6504327156;;OK;"vol extrapolee depuis maturite marche 0.3945 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.3945 an; greeks analytiques bs"
Options;5;Butterfly;TTE;2026-04-27;2026-06-30;250000.0;5.23695448332591;1309238.6208314775;-8504.242987973088;456.34320804791275;14356.975667114024;111621.27127139243;-344667.377459396;;OK;"vol extrapolee depuis maturite marche 0.1452 an; strike extrapole/borne sur [58.00, 108.00]; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; strike extrapole/borne sur [58.00, 108.00]; greeks analytiques bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;6;Call UP OUT;TTE;2026-04-27;2026-06-30;100000.0;1.5238078154021981;152380.78154021982;1856.7744543621125;-257.0875274566904;0.0;804224.0843547214;55303.64764871898;;OK;"vol extrapolee depuis maturite marche 0.1452 an; barriere pricee par local_vol_mc (30000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1452 an; greeks barriere/PDI/PDO par differences finies MC local_vol_mc (30000 paths, seed 12345)"
Options;7;PDI;TTE;2026-04-27;2026-06-30;100000.0;1.4822895072187643;148228.95072187643;-34473.64163885506;6841.5559425409765;0.0;-1063737.0018781123;-408008.66377832537;;OK;"vol extrapolee depuis maturite marche 0.1452 an; barriere pricee par local_vol_mc (30000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1452 an; greeks barriere/PDI/PDO par differences finies MC local_vol_mc (30000 paths, seed 12345)"
