portfolio;line;product;underlying;valuation_date;maturity_date;quantity;unit_price;market_value;delta;gamma;vega;theta;rho;dv01;status;warning
Options;2;Call Spread;AAPL;2026-02-27;2026-06-30;100000.0;11.77560575911427;1177560.5759114271;19482.124378741315;-171.68137861238165;-47531.156347595526;-552146.8577543857;1341120.3532174348;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;3;Call Spread;AAPL;2026-02-27;2026-03-30;100000.0;25.450303986689534;2545030.398668953;59270.90674378456;-781.3593004740409;-511024.81723800214;-1164154.2323639535;1116438.589235388;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;4;Put Spread;AAPL;2026-02-27;2026-09-30;-100000.0;1.1871769683264688;-118717.69683264688;7189.642232009063;-145.47911204769127;-1139149.999061614;-345743.6194643339;1191017.409658545;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;5;Butterfly;AAPL;2026-02-27;2026-06-30;250000.0;10.30254881875365;2575637.2046884126;-3930.453332181533;85.71249082937686;-543167.3116657265;347964.0564188351;-1218578.4595243004;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;6;Call UP OUT;AAPL;2026-02-27;2026-06-30;100000.0;1.4975106455077405;149751.06455077406;-1756.9301175590895;3664.733855469282;;1287082.2375793878;1055692.8947087484;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; barriere pricee par heston_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks barriere/PDI/PDO par differences finies MC heston_mc (1000 paths, seed 12345); vega non calculee pour heston_mc"
Options;7;PDI;AAPL;2026-02-27;2026-06-30;100000.0;22.69546097937551;2269546.0979375513;-27291.87123438263;1443.145385824997;;-4249198.378904784;-2994014.275204293;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; barriere pricee par heston_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-03-02; vol extrapolee depuis maturite marche 0.0493 an; greeks barriere/PDI/PDO par differences finies MC heston_mc (1000 paths, seed 12345); vega non calculee pour heston_mc"
