portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;1309238.6208314775;-8504.242987973088;456.34320804791275;14356.975667114024;111621.27127139243;-344667.377459396;;1;0
Options;Call Spread;870168.4953298286;69372.74148231799;-2619.7594823175245;-363217.7877885287;370408.78810167155;518638.22700993204;;2;0
Options;Call UP OUT;152380.78154021982;1856.7744543621125;-257.0875274566904;0.0;804224.0843547214;55303.64764871898;;1;0
Options;PDI;148228.95072187643;-34473.64163885506;6841.5559425409765;0.0;-1063737.0018781123;-408008.66377832537;;1;0
Options;Put Spread;-80631.0250611498;9802.527521035508;-1010.3178407662589;-657527.9498346681;172144.6816414208;357854.6504327156;;1;0
