portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;2794518.6460061963;-11792.508136139773;227.51383483801766;213466.44377840284;587826.6562540642;-1050475.9886199054;;1;0
Options;Call Spread;3914957.5680634924;78242.16636883626;-1352.2000230081703;-2045927.894800623;1344136.8209583408;2008265.9838847835;;2;0
Options;Call UP OUT;168531.42264455126;-2835.123716676883;-1316.030992347029;-1219339.9712175746;1212286.285062563;693006.6072802221;;1;0
Options;PDI;587551.3447102199;-33437.775192018;1571.8697593565234;4346004.776427215;-3450348.4554429264;-1055363.0032443807;;1;0
Options;Put Spread;-333277.86824325967;9515.029769706596;-225.91929933548946;-1985862.1610935035;511203.83167450177;1244761.104232385;;1;0
