portfolio;line;product;underlying;valuation_date;maturity_date;quantity;unit_price;market_value;delta;gamma;vega;theta;rho;dv01;status;warning
Options;2;Call Spread;AAPL;2026-02-27;2026-06-30;100000.0;11.47456710893917;1147456.710893917;17912.399819100854;-146.64222491672288;-489735.20016114804;-146611.09372390583;1249504.2078406413;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;3;Call Spread;AAPL;2026-02-27;2026-03-30;100000.0;27.920158179098408;2792015.817909841;53977.432595091435;-1163.9507674781173;-1663826.7735537002;1635265.2962269573;1005513.1912755581;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;4;Put Spread;AAPL;2026-02-27;2026-09-30;-100000.0;4.20950240289034;-420950.24028903403;9678.837731756217;-183.75803267866175;-2180229.9272223385;370861.1857242612;1793333.2439156554;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vol extrapolee depuis maturite marche 0.5671 an; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vol extrapolee depuis maturite marche 0.5671 an; greeks analytiques bs"
Options;5;Butterfly;AAPL;2026-02-27;2026-06-30;250000.0;11.01198381056443;2752995.9526411076;-5325.758118750884;-46.90212563754608;-945024.0682243382;793284.7949943244;-1414195.3425830423;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; vanille pricee par bs; pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks analytiques bs"
Options;6;Call UP OUT;AAPL;2026-02-27;2026-06-30;100000.0;0.7490626374786533;74906.26374786533;-1590.13114802025;-665.7185243858637;-692240.4421131739;436570.71351410856;571112.5496125624;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; barriere pricee par gbm_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks barriere/PDI/PDO par differences finies MC gbm_mc (1000 paths, seed 12345)"
Options;7;PDI;AAPL;2026-02-27;2026-06-30;100000.0;10.793314828772273;1079331.4828772272;-34091.151464422095;3012.074159784174;6053249.365939113;-1871183.8961813932;-2760377.323125063;;OK;"pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; barriere pricee par gbm_mc (1000 paths, 84 steps, seed 12345); pas de donnees options <= 2026-02-27; utilisation de 2026-04-27; greeks barriere/PDI/PDO par differences finies MC gbm_mc (1000 paths, seed 12345)"
