portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;2752995.9526411076;-5325.758118750884;-46.90212563754608;-945024.0682243382;793284.7949943244;-1414195.3425830423;;1;0
Options;Call Spread;3939472.528803758;71889.8324141923;-1310.5929923948402;-2153561.973714848;1488654.2025030516;2255017.3991161995;;2;0
Options;Call UP OUT;74906.26374786533;-1590.13114802025;-665.7185243858637;-692240.4421131739;436570.71351410856;571112.5496125624;;1;0
Options;PDI;1079331.4828772272;-34091.151464422095;3012.074159784174;6053249.365939113;-1871183.8961813932;-2760377.323125063;;1;0
Options;Put Spread;-420950.24028903403;9678.837731756217;-183.75803267866175;-2180229.9272223385;370861.1857242612;1793333.2439156554;;1;0
