trade_date;maturity_date;maturity;strike;spot;option_price;option_type;implied_vol;ticker;rate;dividend_yield;forward
2026-04-27;2027-06-18;1.1424657534246576;25.0;77.19;0.2000000067055225;put;0.502911491394043;TTE;;;76.7215881775207
2026-04-27;2027-03-19;0.8931506849315068;28.0;77.19;0.16000000387430185;put;0.502141418457031;TTE;;;77.1355797605815
2026-04-27;2026-09-18;0.39452054794520547;30.0;77.19;0.10500000137835729;put;0.675994567871094;TTE;;;77.08208420785022
2026-04-27;2027-03-19;0.8931506849315068;30.0;77.19;0.18499997258186351;put;0.479217987060547;TTE;;;77.1355797605815
2026-04-27;2027-06-18;1.1424657534246576;30.0;77.19;0.2800000011920925;put;0.452062797546387;TTE;;;76.7215881775207
2026-04-27;2027-12-17;1.641095890410959;30.0;77.19;0.5100000202655796;put;0.415966682434082;TTE;;;74.9576437358878
2026-04-27;2026-09-18;0.39452054794520547;35.0;77.19;0.11000000126659859;put;0.577578392028809;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;35.0;77.19;0.1449999995529651;put;0.46797229766845705;TTE;;;76.71268054224896
2026-04-27;2027-03-19;0.8931506849315068;35.0;77.19;0.2600000128149985;put;0.43328178405761697;TTE;;;77.1355797605815
2026-04-27;2027-06-18;1.1424657534246576;35.0;77.19;0.39000001549720753;put;0.409227294921875;TTE;;;76.7215881775207
2026-04-27;2027-12-17;1.641095890410959;35.0;77.19;0.689999997615814;put;0.378542213439941;TTE;;;74.9576437358878
2026-04-27;2026-09-18;0.39452054794520547;38.0;77.19;0.11500000115483984;put;0.525977401733398;TTE;;;77.08208420785022
2026-04-27;2026-09-18;0.39452054794520547;40.0;77.19;0.12500000186264504;put;0.497795715332031;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;40.0;77.19;0.199999999254942;put;0.41725860595703096;TTE;;;76.71268054224896
2026-04-27;2027-03-19;0.8931506849315068;40.0;77.19;0.364999979734421;put;0.38936351776122996;TTE;;;77.1355797605815
2026-04-27;2027-06-18;1.1424657534246576;40.0;77.19;0.555000007152557;put;0.37285621643066397;TTE;;;76.7215881775207
2026-04-27;2027-12-17;1.641095890410959;40.0;77.19;0.9400000274181359;put;0.34685390472412103;TTE;;;74.9576437358878
2026-04-27;2026-09-18;0.39452054794520547;42.0;77.19;0.13499999605119226;put;0.470227317810059;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;42.0;77.19;0.2349999994039535;put;0.400781707763672;TTE;;;76.71268054224896
2026-04-27;2026-09-18;0.39452054794520547;44.0;77.19;0.15500000119209284;put;0.447948684692383;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;44.0;77.19;0.2650000005960465;put;0.38202911376953097;TTE;;;76.71268054224896
2026-04-27;2026-12-18;0.6438356164383562;45.0;77.19;0.285000003874302;put;0.37379711151122996;TTE;;;76.71268054224896
2026-04-27;2027-03-19;0.8931506849315068;45.0;77.19;0.505000025033951;put;0.351519584655762;TTE;;;77.1355797605815
2026-04-27;2027-06-18;1.1424657534246576;45.0;77.19;0.7849999964237211;put;0.341403617858887;TTE;;;76.7215881775207
2026-04-27;2027-12-17;1.641095890410959;45.0;77.19;1.3099999427795401;put;0.321099281311035;TTE;;;74.9576437358878
2026-04-27;2026-09-18;0.39452054794520547;46.0;77.19;0.175000000745058;put;0.42517578125;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;46.0;77.19;0.30499999225139596;put;0.365328598022461;TTE;;;76.71268054224896
2026-04-27;2026-09-18;0.39452054794520547;48.0;77.19;0.2049999982118605;put;0.405636787414551;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;48.0;77.19;0.3499999940395355;put;0.348783988952637;TTE;;;76.71268054224896
2026-04-27;2026-07-17;0.2219178082191781;50.0;77.19;0.13499999605119226;put;0.460464286804199;TTE;;;76.75813511797273
2026-04-27;2026-09-18;0.39452054794520547;50.0;77.19;0.2349999994039535;put;0.38498939514160196;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;50.0;77.19;0.41499999165534995;put;0.335105018615723;TTE;;;76.71268054224896
2026-04-27;2027-03-19;0.8931506849315068;50.0;77.19;0.7349999845027925;put;0.321407814025879;TTE;;;77.1355797605815
2026-04-27;2027-06-18;1.1424657534246576;50.0;77.19;1.149999618530275;put;0.316479396820068;TTE;;;76.7215881775207
2026-04-27;2027-12-17;1.641095890410959;50.0;77.19;1.8400001525878902;put;0.3006715965271;TTE;;;74.9576437358878
2026-04-27;2026-07-17;0.2219178082191781;52.0;77.19;0.1549999974668026;put;0.434007415771484;TTE;;;76.75813511797273
2026-04-27;2026-09-18;0.39452054794520547;52.0;77.19;0.2750000059604645;put;0.366140289306641;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;52.0;77.19;0.48999997973442044;put;0.321463203430176;TTE;;;76.71268054224896
2026-04-27;2026-07-17;0.2219178082191781;54.0;77.19;0.17499999701976784;put;0.40622230529785197;TTE;;;76.75813511797273
2026-04-27;2026-09-18;0.39452054794520547;54.0;77.19;0.320000000298023;put;0.34725719451904297;TTE;;;77.08208420785022
2026-04-27;2026-12-18;0.6438356164383562;54.0;77.19;0.594999998807907;put;0.31042739868164104;TTE;;;76.71268054224896
2026-04-27;2027-03-19;0.8931506849315068;54.0;77.19;1.049999684095384;put;0.30297550201416;TTE;;;77.1355797605815
2026-04-27;2026-12-18;0.6438356164383562;55.0;77.19;0.6599999964237215;put;0.305559501647949;TTE;;;76.71268054224896
2026-04-27;2027-06-18;1.1424657534246576;55.0;77.19;1.724999904632565;put;0.298025093078613;TTE;;;76.7215881775207
2026-04-27;2027-12-17;1.641095890410959;55.0;77.19;2.62499952316284;put;0.285757637023926;TTE;;;74.9576437358878
2026-04-27;2026-05-15;0.049315068493150684;56.0;77.19;0.0950000034645198;put;0.724635467529297;TTE;;;77.19
2026-04-27;2026-07-17;0.2219178082191781;56.0;77.19;0.2049999944865705;put;0.38236850738525396;TTE;;;76.75813511797273
2026-04-27;2026-09-18;0.39452054794520547;56.0;77.19;0.375;put;0.329073295593262;TTE;;;77.08208420785022
