maturity_date;maturity;theta;rho;phi;rmse_total_variance
2026-05-29;0.0904109589041095;0.013482442225189392;-0.40001375613016693;2.0000077580483335;0.004336865248183761
2026-06-18;0.1452054794520547;0.018128481589613943;-0.13269683579205177;5.757707237196721;0.0015815016389262178
2026-07-17;0.2246575342465753;0.025348621365016036;-0.40001684348733424;2.00004283255024;0.007456603640563059
2026-08-21;0.3205479452054794;0.03736700759390704;-0.14754161593853807;3.5643939159144926;0.0018701251907125727
2026-09-18;0.3972602739726027;0.04386506875418019;-0.14587096603179292;3.25789598537418;0.0016973163920465284
2026-10-16;0.473972602739726;0.051105010652298374;-0.20804014309386332;2.663298009545236;0.0012882987757339502
2026-11-20;0.5698630136986301;0.06135107941408934;-0.20078797991990766;2.5686307959138346;0.0016406567579815069
2026-12-18;0.6465753424657534;0.06747268991932255;-0.20003379609470576;2.5294300106134058;0.0024180229324658837
2027-01-15;0.7232876712328767;0.07363401775334076;-0.19495206832785908;2.4272610263705343;0.0020709091417642376
2027-03-19;0.8958904109589041;0.09659279530990707;-0.22810214906207352;1.7600403515043366;0.004232236921778943
