date;underlying;expiration;maturity;side;strike;mid;inTheMoney;underlyingPrice;intrinsicValue;extrinsicValue;ticker
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;270.0;155.325;True;424.6199951171875;154.6199951171875;0.7050048828124886;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;300.0;125.575;True;424.6199951171875;124.6199951171875;0.9550048828125028;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;305.0;120.57499999999999;True;424.6199951171875;119.6199951171875;0.9550048828124886;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;310.0;115.7;True;424.6199951171875;114.6199951171875;1.0800048828125028;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;315.0;110.75;True;424.6199951171875;109.6199951171875;1.1300048828125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;320.0;105.825;True;424.6199951171875;104.6199951171875;1.2050048828125028;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;330.0;95.75;True;424.6199951171875;94.6199951171875;1.1300048828125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;335.0;90.9;True;424.6199951171875;89.6199951171875;1.2800048828125057;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;340.0;86.025;True;424.6199951171875;84.6199951171875;1.4050048828125057;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;345.0;81.2;True;424.6199951171875;79.6199951171875;1.5800048828125028;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;350.0;76.30000000000001;True;424.6199951171875;74.6199951171875;1.6800048828125114;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;355.0;71.825;True;424.6199951171875;69.6199951171875;2.205004882812503;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;360.0;67.05;True;424.6199951171875;64.6199951171875;2.430004882812497;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;365.0;62.525;True;424.6199951171875;59.6199951171875;2.9050048828124986;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;370.0;58.025;True;424.6199951171875;54.6199951171875;3.4050048828124986;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;375.0;53.825;True;424.6199951171875;49.6199951171875;4.205004882812503;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;380.0;49.474999999999994;True;424.6199951171875;44.6199951171875;4.855004882812494;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;385.0;45.3;True;424.6199951171875;39.6199951171875;5.680004882812497;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;390.0;41.375;True;424.6199951171875;34.6199951171875;6.7550048828125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;395.0;37.625;True;424.6199951171875;29.6199951171875;8.0050048828125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;400.0;34.2;True;424.6199951171875;24.6199951171875;9.580004882812503;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;405.0;30.925;True;424.6199951171875;19.6199951171875;11.3050048828125;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;410.0;27.6;True;424.6199951171875;14.6199951171875;12.980004882812501;MSFT
2026-04-25;MSFT;2026-05-29;0.09315068493150686;call;415.0;24.7;True;424.6199951171875;9.6199951171875;15.0800048828125;MSFT
