date;underlying;expiration;maturity;side;strike;mid;inTheMoney;underlyingPrice;intrinsicValue;extrinsicValue;ticker
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;110.0;161.0;True;271.05999755859375;161.05999755859375;-0.05999755859375;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;195.0;76.5;True;271.05999755859375;76.05999755859375;0.44000244140625;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;200.0;71.575;True;271.05999755859375;71.05999755859375;0.5150024414062528;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;205.0;66.55;True;271.05999755859375;66.05999755859375;0.49000244140624716;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;210.0;61.6;True;271.05999755859375;61.05999755859375;0.5400024414062514;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;215.0;56.85;True;271.05999755859375;56.05999755859375;0.7900024414062514;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;220.0;52.025000000000006;True;271.05999755859375;51.05999755859375;0.9650024414062557;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;225.0;47.175;True;271.05999755859375;46.05999755859375;1.1150024414062472;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;230.0;42.3;True;271.05999755859375;41.05999755859375;1.2400024414062472;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;235.0;37.775;True;271.05999755859375;36.05999755859375;1.7150024414062486;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;240.0;33.099999999999994;True;271.05999755859375;31.05999755859375;2.0400024414062443;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;245.0;28.575;True;271.05999755859375;26.05999755859375;2.5150024414062493;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;250.0;24.225;True;271.05999755859375;21.05999755859375;3.1650024414062514;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;255.0;20.125;True;271.05999755859375;16.05999755859375;4.06500244140625;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;260.0;16.3;True;271.05999755859375;11.05999755859375;5.240002441406251;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;265.0;12.774999999999999;True;271.05999755859375;6.05999755859375;6.715002441406249;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;270.0;9.675;True;271.05999755859375;1.05999755859375;8.61500244140625;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;275.0;7.275;False;271.05999755859375;0.0;7.275;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;280.0;5.225;False;271.05999755859375;0.0;5.225;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;285.0;3.675;False;271.05999755859375;0.0;3.675;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;290.0;2.505;False;271.05999755859375;0.0;2.505;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;295.0;1.6949999999999998;False;271.05999755859375;0.0;1.6949999999999998;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;300.0;1.15;False;271.05999755859375;0.0;1.15;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;305.0;0.7849999999999999;False;271.05999755859375;0.0;0.7849999999999999;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;310.0;0.515;False;271.05999755859375;0.0;0.515;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;315.0;0.36;False;271.05999755859375;0.0;0.36;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;320.0;0.23;False;271.05999755859375;0.0;0.23;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;325.0;0.16999999999999998;False;271.05999755859375;0.0;0.16999999999999998;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;330.0;0.09999999999999999;False;271.05999755859375;0.0;0.09999999999999999;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;335.0;0.06;False;271.05999755859375;0.0;0.06;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;340.0;0.065;False;271.05999755859375;0.0;0.065;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;345.0;0.07500000000000001;False;271.05999755859375;0.0;0.07500000000000001;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;350.0;0.065;False;271.05999755859375;0.0;0.065;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;355.0;0.049999999999999996;False;271.05999755859375;0.0;0.049999999999999996;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;365.0;0.07;False;271.05999755859375;0.0;0.07;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;call;370.0;0.24;False;271.05999755859375;0.0;0.24;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;170.0;0.14;False;271.05999755859375;0.0;0.14;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;180.0;0.07;False;271.05999755859375;0.0;0.07;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;185.0;0.085;False;271.05999755859375;0.0;0.085;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;190.0;0.1;False;271.05999755859375;0.0;0.1;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;195.0;0.125;False;271.05999755859375;0.0;0.125;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;200.0;0.14;False;271.05999755859375;0.0;0.14;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;205.0;0.195;False;271.05999755859375;0.0;0.195;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;210.0;0.275;False;271.05999755859375;0.0;0.275;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;215.0;0.315;False;271.05999755859375;0.0;0.315;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;220.0;0.4;False;271.05999755859375;0.0;0.4;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;225.0;0.51;False;271.05999755859375;0.0;0.51;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;230.0;0.73;False;271.05999755859375;0.0;0.73;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;235.0;0.9550000000000001;False;271.05999755859375;0.0;0.9550000000000001;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;240.0;1.265;False;271.05999755859375;0.0;1.265;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;245.0;1.755;False;271.05999755859375;0.0;1.755;AAPL
2026-04-27;AAPL;2026-05-29;0.08767123287671233;put;250.0;2.415;False;271.05999755859375;0.0;2.415;AAPL
