maturity;strike;local_vol;error
0.0904109589041095;225.0;1.3449879743416882;
0.0904109589041095;234.71428571428572;1.1507530186122552;
0.0904109589041095;244.42857142857142;0.9952369625323195;
0.0904109589041095;254.1428571428571;0.8691564950580557;
0.0904109589041095;263.85714285714283;0.7657231176244095;
0.0904109589041095;273.57142857142856;0.6799070264135011;
0.0904109589041095;283.2857142857142;0.6079361886923141;
0.0904109589041095;292.99999999999994;0.5469504086511399;
0.0904109589041095;302.71428571428567;0.49475938947733367;
0.0904109589041095;312.4285714285714;0.44967186516432506;
0.0904109589041095;322.1428571428571;0.41037429166517997;
0.0904109589041095;331.8571428571428;0.37584494858603856;
0.0904109589041095;341.5714285714285;0.34529413481371324;
0.0904109589041095;351.2857142857142;0.3181243130505691;
0.0904109589041095;360.9999999999999;0.2939059832430315;
0.0904109589041095;370.7142857142856;0.27236576875914614;
0.0904109589041095;380.42857142857133;0.2533823407200495;
0.0904109589041095;390.14285714285705;0.23698287072615118;
0.0904109589041095;399.8571428571428;0.2233278621582261;
0.0904109589041095;409.57142857142844;0.21266837699059055;
0.0904109589041095;419.28571428571416;0.20526453508590398;
0.0904109589041095;428.9999999999999;0.20127619699016872;
0.0904109589041095;438.71428571428555;0.20066937441228885;
0.0904109589041095;448.4285714285713;0.2031928992055621;
0.0904109589041095;458.142857142857;0.2084430208540477;
0.0904109589041095;467.8571428571427;0.21597693217812133;
0.0904109589041095;477.57142857142844;0.22541574578777226;
0.0904109589041095;487.2857142857141;0.2365030668325455;
0.0904109589041095;496.99999999999983;0.24912025560297044;
0.0904109589041095;506.71428571428555;0.26327612701485925;
0.0904109589041095;516.4285714285712;0.27908809332889856;
0.0904109589041095;526.1428571428569;0.29676485382961826;
0.0904109589041095;535.8571428571427;0.31659475572958584;
0.0904109589041095;545.5714285714284;0.33894059495267825;
0.0904109589041095;555.2857142857141;0.36424026785383573;
0.0904109589041095;564.9999999999998;0.39301239405880234;
0.0904109589041095;574.7142857142856;0.4258661830239507;
0.0904109589041095;584.4285714285712;0.4635150990887873;
0.0904109589041095;594.1428571428569;0.5067941644729622;
0.0904109589041095;603.8571428571427;0.5566809890158377;
0.0904109589041095;613.5714285714283;0.6143208276545066;
0.0904109589041095;623.285714285714;0.681056151200063;
0.0904109589041095;632.9999999999998;0.7584613840701683;
0.0904109589041095;642.7142857142854;0.8483836240150698;
0.0904109589041095;652.4285714285711;0.9529903215767206;
0.0904109589041095;662.1428571428569;1.07482506780809;
0.0904109589041095;671.8571428571425;1.2168728237383384;
0.0904109589041095;681.5714285714282;1.3826361299029748;
0.0904109589041095;691.285714285714;1.5762240646198897;
0.0904109589041095;700.9999999999997;1.8024559810791125;
0.14794520547945195;225.0;0.5426663669592863;
0.14794520547945195;234.71428571428572;0.5382678709493266;
0.14794520547945195;244.42857142857142;0.5326602800149693;
0.14794520547945195;254.1428571428571;0.5258384498008609;
0.14794520547945195;263.85714285714283;0.5177964318572384;
0.14794520547945195;273.57142857142856;0.5085292057319593;
0.14794520547945195;283.2857142857142;0.49803498430373916;
0.14794520547945195;292.99999999999994;0.48631832433882494;
0.14794520547945195;302.71428571428567;0.4733943427964227;
0.14794520547945195;312.4285714285714;0.45929441647834623;
0.14794520547945195;322.1428571428571;0.44407381464341095;
0.14794520547945195;331.8571428571428;0.42782174346718416;
0.14794520547945195;341.5714285714285;0.4106741904232512;
0.14794520547945195;351.2857142857142;0.3928295964333061;
0.14794520547945195;360.9999999999999;0.3745665064043301;
0.14794520547945195;370.7142857142856;0.35626061929172714;
0.14794520547945195;380.42857142857133;0.3383958164881457;
0.14794520547945195;390.14285714285705;0.3215600997804728;
0.14794520547945195;399.8571428571428;0.30641470380766533;
0.14794520547945195;409.57142857142844;0.29362691169385446;
0.14794520547945195;419.28571428571416;0.28376879812504224;
0.14794520547945195;428.9999999999999;0.2772045180338187;
0.14794520547945195;438.71428571428555;0.27400609202508175;
0.14794520547945195;448.4285714285713;0.2739347513301936;
0.14794520547945195;458.142857142857;0.27649752528761323;
0.14794520547945195;467.8571428571427;0.28105454681896425;
0.14794520547945195;477.57142857142844;0.2869352247980603;
0.14794520547945195;487.2857142857141;0.29352867764424573;
0.14794520547945195;496.99999999999983;0.30033437647100836;
0.14794520547945195;506.71428571428555;0.30697706609296266;
0.14794520547945195;516.4285714285712;0.31319825692596504;
0.14794520547945195;526.1428571428569;0.3188364873785827;
0.14794520547945195;535.8571428571427;0.32380484249181857;
0.14794520547945195;545.5714285714284;0.3280703114879228;
0.14794520547945195;555.2857142857141;0.3316368065164643;
0.14794520547945195;564.9999999999998;0.33453210997571503;
0.14794520547945195;574.7142857142856;0.33679830779983383;
0.14794520547945195;584.4285714285712;0.33848503776527183;
0.14794520547945195;594.1428571428569;0.33964488668438325;
0.14794520547945195;603.8571428571427;0.34033036708780656;
0.14794520547945195;613.5714285714283;0.34059202235777764;
0.14794520547945195;623.285714285714;0.3404773188920022;
0.14794520547945195;632.9999999999998;0.3400300745408583;
0.14794520547945195;642.7142857142854;0.33929024317440687;
0.14794520547945195;652.4285714285711;0.338293928271903;
0.14794520547945195;662.1428571428569;0.33707353730363915;
0.14794520547945195;671.8571428571425;0.33565801667533113;
0.14794520547945195;681.5714285714282;0.3340731268935088;
0.14794520547945195;691.285714285714;0.3323417315624875;
0.14794520547945195;700.9999999999997;0.330484083492291;
0.20547945205479443;225.0;0.0;
0.20547945205479443;234.71428571428572;0.0;
0.20547945205479443;244.42857142857142;0.0;
0.20547945205479443;254.1428571428571;0.0;
0.20547945205479443;263.85714285714283;0.0;
0.20547945205479443;273.57142857142856;0.0;
0.20547945205479443;283.2857142857142;0.0;
0.20547945205479443;292.99999999999994;0.12269804022022114;
0.20547945205479443;302.71428571428567;0.17229701935438174;
0.20547945205479443;312.4285714285714;0.2065636840661861;
0.20547945205479443;322.1428571428571;0.23251633882536496;
0.20547945205479443;331.8571428571428;0.2528342763305111;
0.20547945205479443;341.5714285714285;0.26888008223960214;
0.20547945205479443;351.2857142857142;0.28144803237260235;
0.20547945205479443;360.9999999999999;0.2910363247030527;
0.20547945205479443;370.7142857142856;0.2979709149135326;
0.20547945205479443;380.42857142857133;0.3024734719519391;
0.20547945205479443;390.14285714285705;0.30470633306549333;
