trade_date;maturity_date;maturity;strike;spot;option_price;option_type;implied_vol;ticker;rate;dividend_yield;forward
2026-04-27;2026-05-29;0.08767123287671233;170.0;271.05999755859375;0.14;put;0.6779607833838462;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;180.0;271.05999755859375;0.07;put;0.5546006510429382;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;185.0;271.05999755859375;0.085;put;0.5329272144443991;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;190.0;271.05999755859375;0.1;put;0.5094251077098848;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;195.0;271.05999755859375;0.125;put;0.4898652513923645;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;200.0;271.05999755859375;0.14;put;0.4634210599801541;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;205.0;271.05999755859375;0.195;put;0.4508552112817764;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;210.0;271.05999755859375;0.275;put;0.4396435798418522;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;215.0;271.05999755859375;0.315;put;0.41411253140497206;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;220.0;271.05999755859375;0.4;put;0.39554211199283595;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;225.0;271.05999755859375;0.51;put;0.3770733184797168;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;230.0;271.05999755859375;0.73;put;0.3674340572544933;AAPL;0.03695999;0.0038;271.849163571721
2026-04-27;2026-05-29;0.08767123287671233;235.0;271.05999755859375;0.9550000000000001;put;0.35091910360634326;AAPL;0.03695999;0.0038;271.849163571721
