portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;2752995.9526411076;-5325.758118750884;-46.90212563754608;-945024.0682243382;793284.7949943244;-1414195.3425830423;;1;0
Options;Call Spread;3939472.528803758;71889.8324141923;-1310.5929923948402;-2153561.973714848;1488654.2025030516;2255017.3991161995;;2;0
Options;Call UP OUT;172048.51880153653;-5126.9871877667465;140.49965578655443;;1027645.9746909894;1133571.8787738313;;1;0
Options;PDI;933178.5565381999;-25816.98898935944;-350.0524522878369;;-2225428.5385910827;-2223877.6553065167;;1;0
Options;Put Spread;-420950.24028903403;9678.837731756217;-183.75803267866175;-2180229.9272223385;370861.1857242612;1793333.2439156554;;1;0
