portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;2575637.2046884126;-3930.453332181533;85.71249082937686;-543167.3116657265;347964.0564188351;-1218578.4595243004;;1;0
Options;Call Spread;3722590.97458038;78753.03112252588;-953.0406790864225;-558555.9735855977;-1716301.0901183393;2457558.942452823;;2;0
Options;Call UP OUT;86572.53480285246;-3006.0159929966053;-1103.9125260879737;-353989.2381145171;-71079.70530419672;623031.8723035589;;1;0
Options;PDI;1384864.2169614378;-42293.68956653371;69.04660854214605;6445140.534225987;-2077143.6664225974;-10656142.427453829;;1;0
Options;Put Spread;-118717.69683264688;7189.642232009063;-145.47911204769127;-1139149.999061614;-345743.6194643339;1191017.409658545;;1;0
