portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;2575637.2046884126;-3930.453332181533;85.71249082937686;-543167.3116657265;347964.0564188351;-1218578.4595243004;;1;0
Options;Call Spread;3722590.97458038;78753.03112252588;-953.0406790864225;-558555.9735855977;-1716301.0901183393;2457558.942452823;;2;0
Options;Call UP OUT;103002.52643773158;-5634.377189332436;514.0087040477017;;948625.7809519641;-14162477.375092352;;1;0
Options;PDI;1556540.5407841194;-25498.14314185374;408.8046240117201;;-3724980.408500478;-2647885.4572902224;;1;0
Options;Put Spread;-118717.69683264688;7189.642232009063;-145.47911204769127;-1139149.999061614;-345743.6194643339;1191017.409658545;;1;0
