portfolio;line;product;underlying;valuation_date;maturity_date;quantity;unit_price;market_value;delta;gamma;vega;theta;rho;dv01;status;warning
Options;2;Call Spread;TTE;2026-04-27;2026-06-30;100000.0;2.434270714956469;243427.07149564687;21692.329688267804;-209.10940401875493;-38527.95345471627;-16015.04510008418;250915.74481389474;;OK;"vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;3;Call Spread;TTE;2026-04-27;2026-05-29;100000.0;6.267414238341818;626741.4238341817;47680.41179405018;-2410.6500782987696;-324689.83433381247;386423.8332017557;267722.4821960373;;OK;"vol extrapolee depuis maturite marche 0.0493 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.0493 an; greeks analytiques bs"
Options;4;Put Spread;TTE;2026-04-27;2026-09-30;-100000.0;0.8063102506114981;-80631.0250611498;9802.527521035508;-1010.3178407662589;-657527.9498346681;172144.6816414208;357854.6504327156;;OK;"vol extrapolee depuis maturite marche 0.3945 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.3945 an; greeks analytiques bs"
Options;5;Butterfly;TTE;2026-04-27;2026-06-30;250000.0;5.23695448332591;1309238.6208314775;-8504.242987973088;456.34320804791275;14356.975667114024;111621.27127139243;-344667.377459396;;OK;"vol extrapolee depuis maturite marche 0.1452 an; strike extrapole/borne sur [58.00, 108.00]; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; vanille pricee par bs; vol extrapolee depuis maturite marche 0.1452 an; strike extrapole/borne sur [58.00, 108.00]; greeks analytiques bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs; vol extrapolee depuis maturite marche 0.1452 an; greeks analytiques bs"
Options;6;Call UP OUT;TTE;2026-04-27;2026-06-30;100000.0;1.2173145248962112;121731.45248962112;-2145.656029302745;-5497.243610321762;;398036.01993911684;100347.91092550232;;OK;"vol extrapolee depuis maturite marche 0.1452 an; barriere pricee par heston_mc (30000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1452 an; greeks barriere/PDI/PDO par differences finies MC heston_mc (30000 paths, seed 12345); vega non calculee pour heston_mc"
Options;7;PDI;TTE;2026-04-27;2026-06-30;100000.0;2.2966807659806814;229668.07659806815;-33979.097376672165;3897.149089989293;;-926743.792932885;-449103.35855696816;;OK;"vol extrapolee depuis maturite marche 0.1452 an; barriere pricee par heston_mc (30000 paths, 44 steps, seed 12345); vol extrapolee depuis maturite marche 0.1452 an; greeks barriere/PDI/PDO par differences finies MC heston_mc (30000 paths, seed 12345); vega non calculee pour heston_mc"
