portfolio;product;market_value;delta;gamma;vega;theta;rho;dv01;nb_positions;nb_errors
Options;Butterfly;2575637.2046884126;-3930.453332181533;85.71249082937686;-543167.3116657265;347964.0564188351;-1218578.4595243004;;1;0
Options;Call Spread;3722590.97458038;78753.03112252588;-953.0406790864225;-558555.9735855977;-1716301.0901183393;2457558.942452823;;2;0
Options;Call UP OUT;149751.06455077406;-1756.9301175590895;3664.733855469282;;1287082.2375793878;1055692.8947087484;;1;0
Options;PDI;2269546.0979375513;-27291.87123438263;1443.145385824997;;-4249198.378904784;-2994014.275204293;;1;0
Options;Put Spread;-118717.69683264688;7189.642232009063;-145.47911204769127;-1139149.999061614;-345743.6194643339;1191017.409658545;;1;0
